Model,Train Accuracy,Test Accuracy,Precision,Recall,F1 Score,Execution Time (s)
Logistic Regression,0.8636363636363636,0.8524590163934426,0.8709677419354839,0.84375,0.8571428571428571,0.012233972549438477
Ridge Classifier,0.859504132231405,0.8688524590163934,0.875,0.875,0.875,0.006806850433349609
SGD Classifier,0.8099173553719008,0.7868852459016393,0.8518518518518519,0.71875,0.7796610169491525,0.00528717041015625
Support Vector Machine,0.9214876033057852,0.8688524590163934,0.9,0.84375,0.870967741935484,0.002335071563720703
Decision Tree,1.0,0.8524590163934426,0.9259259259259259,0.78125,0.847457627118644,0.004413127899169922
K-Nearest Neighbors,0.8553719008264463,0.9016393442622951,0.9333333333333333,0.875,0.9032258064516129,0.002850055694580078
Random Forest,1.0,0.8524590163934426,0.8484848484848485,0.875,0.8615384615384615,0.04757404327392578
Bagging Classifier,0.9752066115702479,0.7868852459016393,0.8064516129032258,0.78125,0.7936507936507936,0.008529901504516602
Extra Trees Classifier,1.0,0.8524590163934426,0.8709677419354839,0.84375,0.8571428571428571,0.030596017837524414
AdaBoost Classifier,0.9380165289256198,0.8032786885245902,0.8571428571428571,0.75,0.7999999999999999,0.023038864135742188
XGBoost Classifier,1.0,0.819672131147541,0.8620689655172413,0.78125,0.8196721311475409,0.0605771541595459
CatBoost Classifier,0.9958677685950413,0.8360655737704918,0.84375,0.84375,0.84375,0.4279139041900635
